,date,sentiment_index,count
0,01-22,0.5667,30.0
1,01-29,0.76,25.0
2,02-05,0.5612,98.0
3,07-09,0.7917,96.0
4,01-21,0.7576,33.0
5,01-28,1.0,9.0
6,02-04,0.8333,6.0
7,02-11,0.8077,26.0
8,02-18,1.0,11.0
9,02-25,0.6154,13.0
10,07-08,0.8605,43.0
11,01-20,1.0,1.0
12,01-23,0.1667,6.0
13,01-24,0.0,0.0
14,01-25,0.0,0.0
15,01-26,1.0,3.0
16,01-27,0.8889,9.0
17,01-30,1.0,12.0
18,01-31,0.8571,7.0
19,02-01,-0.3571,14.0
20,02-03,1.0,14.0
21,02-10,0.3,10.0
22,02-17,0.7391,23.0
23,02-24,0.8235,34.0
24,03-02,1.0,5.0
25,03-03,0.7595,79.0
26,03-09,0.5333,15.0
27,03-10,0.7143,35.0
28,03-16,0.7037,27.0
29,03-17,0.7778,18.0
30,03-23,0.3333,6.0
31,03-24,0.8333,12.0
32,03-30,0.7586,29.0
33,03-31,0.6111,18.0
34,04-06,0.5,12.0
35,04-07,0.0,0.0
36,04-13,0.65,20.0
37,04-14,0.6349,63.0
38,04-20,0.0,0.0
39,04-21,0.8136,59.0
40,04-27,0.7,20.0
41,04-28,0.5217,23.0
42,05-04,0.5333,15.0
43,05-05,0.8667,15.0
44,05-11,1.0,2.0
45,05-12,0.7812,32.0
46,05-18,0.8857,35.0
47,05-19,0.0,0.0
48,05-25,0.7179,39.0
49,05-26,0.0,0.0
50,06-01,0.7727,22.0
51,06-02,0.0,0.0
52,06-08,0.561,41.0
53,06-09,1.0,11.0
54,06-15,0.4286,7.0
55,06-16,0.5667,30.0
56,06-22,0.0,0.0
57,06-23,0.0,3.0
58,06-29,0.8889,9.0
59,06-30,0.7714,35.0
60,07-06,0.6757,37.0
61,07-07,0.8333,12.0
62,07-13,0.7,10.0
63,07-14,0.4286,28.0
64,07-20,0.6667,6.0
65,07-21,0.8571,14.0
66,07-27,0.9655,29.0
67,07-28,0.8889,36.0
68,08-03,0.7027,37.0
69,08-04,0.7647,17.0
70,08-10,0.8286,35.0
71,08-11,1.0,7.0
72,08-17,0.5,18.0
73,08-18,0.8261,23.0
74,08-24,0.8421,19.0
75,08-25,0.75,4.0
76,08-31,0.3333,3.0
77,09-01,0.0,0.0
78,09-07,0.8305,59.0
79,09-08,0.775,40.0
80,09-14,0.913,23.0
81,09-15,1.0,12.0
82,09-21,1.0,8.0
83,09-22,0.5556,9.0
84,09-28,0.0,0.0
85,09-29,-0.4,10.0
86,10-05,0.2778,18.0
87,10-06,0.7368,19.0
88,10-12,0.3333,6.0
89,10-13,0.0,0.0
90,10-19,0.9677,31.0
91,10-20,0.75,4.0
92,10-26,0.0,3.0
93,10-27,0.0,0.0
94,11-02,0.0,0.0
95,11-03,0.8182,11.0
96,11-09,0.0,0.0
97,11-10,-0.0455,22.0
98,11-16,0.6471,17.0
99,11-17,0.0,0.0
100,11-23,0.0,0.0
101,11-24,0.0,0.0
102,11-30,0.0,0.0
103,12-01,1.0,29.0
104,12-07,0.0,0.0
105,12-08,0.0,0.0
106,12-14,0.875,16.0
107,12-15,0.0,0.0
108,12-21,0.3684,38.0
109,12-22,0.0,0.0
110,12-28,0.0,0.0
111,12-29,0.7333,15.0
112,01-04,0.0,0.0
113,01-05,0.0,0.0
114,01-11,0.5714,14.0
115,01-12,0.68,50.0
117,01-17,0.0,0.0
118,01-18,0.5455,11.0
119,01-19,0.9565,46.0
120,02-02,0.7143,7.0
121,02-06,0.3571,14.0
122,02-07,0.5455,11.0
123,02-08,0.8,5.0
124,02-09,1.0,2.0
125,02-12,1.0,3.0
126,02-13,0.0,0.0
127,02-14,1.0,7.0
128,02-15,0.0,0.0
129,02-16,0.0,0.0
130,02-19,0.7105,38.0
131,02-20,0.6341,41.0
132,02-21,0.5278,36.0
133,02-22,0.963,27.0
134,02-23,0.4375,16.0
135,02-26,0.5098,51.0
136,02-27,0.0,0.0
137,02-28,0.5714,7.0
138,02-29,0.0,0.0
139,03-01,0.75,4.0
140,03-04,0.4737,19.0
141,03-05,0.7692,13.0
142,03-06,0.8462,26.0
143,03-07,0.625,16.0
144,03-08,0.0,0.0
145,03-11,0.6,35.0
146,03-12,0.8667,30.0
147,03-13,0.5882,17.0
148,03-14,0.5333,15.0
149,03-15,0.8485,33.0
150,03-18,0.6667,18.0
151,03-19,0.0,0.0
152,03-20,0.0,0.0
153,03-21,0.8571,7.0
154,03-22,0.6667,6.0
155,03-25,0.7241,29.0
156,03-26,0.5,2.0
157,03-27,0.8889,36.0
158,03-28,0.9,30.0
159,03-29,1.0,4.0
160,04-01,0.6078,51.0
161,04-02,1.0,19.0
162,04-03,1.0,31.0
163,04-04,0.5652,23.0
164,04-05,0.0,0.0
165,04-08,0.8519,54.0
166,04-09,0.8846,26.0
167,04-10,0.65,20.0
168,04-11,0.75,20.0
169,04-12,0.7273,55.0
170,04-15,0.7037,27.0
171,04-16,0.4167,12.0
172,04-17,0.9,30.0
173,04-18,0.7826,23.0
174,04-19,0.88,25.0
175,04-22,0.7885,52.0
176,04-23,0.72,25.0
177,04-24,0.8437,64.0
178,04-25,0.8,60.0
179,04-26,0.86,50.0
180,04-29,0.5763,59.0
181,04-30,0.7692,39.0
182,05-01,0.6818,66.0
183,05-02,1.0,4.0
184,05-03,0.4138,29.0
185,05-06,0.8082,73.0
186,05-07,0.6571,35.0
187,05-08,0.4762,21.0
188,05-09,0.7742,62.0
189,05-10,1.0,2.0
190,05-13,0.931,29.0
191,05-14,0.913,23.0
192,05-15,0.7,30.0
193,05-16,1.0,9.0
194,05-17,0.2,5.0
195,05-20,0.9231,26.0
196,05-21,0.5,14.0
197,05-22,1.0,10.0
198,05-23,0.7857,14.0
199,05-24,0.8667,15.0
200,05-27,0.0,0.0
201,05-28,0.0,0.0
202,05-29,0.0,0.0
203,05-30,0.0,0.0
204,05-31,0.6591,44.0
205,06-03,0.6667,3.0
206,06-04,0.6667,3.0
207,06-05,1.0,3.0
208,06-06,0.8667,15.0
209,06-07,0.8125,16.0
210,06-10,0.9286,14.0
211,06-11,0.0,1.0
212,06-12,0.5,4.0
213,06-13,1.0,1.0
214,06-14,1.0,6.0
215,06-17,0.7778,9.0
216,06-18,0.0,0.0
217,06-19,1.0,5.0
218,06-20,1.0,4.0
219,06-21,0.8571,7.0
220,06-24,0.6,5.0
221,06-25,1.0,2.0
222,06-26,0.6667,3.0
223,06-27,1.0,7.0
224,06-28,0.2,5.0
225,07-01,0.0,2.0
