,date,sentiment_index,count
0,07-09,0.8152,92.0
1,02-11,0.8788,231.0
2,02-18,0.8191,94.0
3,02-25,0.6643,140.0
4,07-08,0.45,60.0
5,01-25,0.0,9.0
6,01-26,0.3333,3.0
7,02-01,0.4742,97.0
8,02-10,0.5357,140.0
9,02-17,0.6301,73.0
10,02-24,0.5341,88.0
11,03-02,0.7087,103.0
12,03-03,0.6909,110.0
13,03-09,0.7342,79.0
14,03-10,0.4677,62.0
15,03-16,0.6118,85.0
16,03-17,0.6885,61.0
17,03-23,0.625,72.0
18,03-24,0.8806,67.0
19,03-30,0.7083,48.0
20,03-31,0.6389,72.0
21,04-06,0.5833,60.0
22,04-07,0.0,0.0
23,04-13,0.6413,92.0
24,04-14,0.5091,55.0
25,04-20,0.0,0.0
26,04-21,0.0745,161.0
27,04-27,0.6,105.0
28,04-28,0.64,125.0
29,05-04,0.4478,67.0
30,05-05,0.4651,86.0
31,05-11,0.5126,119.0
32,05-12,0.75,108.0
33,05-18,0.6061,66.0
34,05-19,0.0,0.0
35,05-25,0.3412,85.0
36,05-26,0.0,0.0
37,06-01,0.7273,44.0
38,06-02,0.0,0.0
39,06-08,0.8585,106.0
40,06-09,0.8588,85.0
41,06-15,0.7753,89.0
42,06-16,0.6533,75.0
43,06-22,0.0,0.0
44,06-23,0.2857,7.0
45,06-29,0.525,40.0
46,06-30,0.7879,66.0
47,07-06,0.7614,88.0
48,07-07,0.7349,83.0
49,07-13,0.7143,21.0
50,07-14,0.6923,52.0
51,07-20,0.6133,75.0
52,07-21,0.3825,183.0
53,07-27,0.4625,80.0
54,07-28,0.8551,69.0
55,08-03,0.587,46.0
56,08-04,0.6825,63.0
57,08-10,0.7,90.0
58,08-11,0.6923,104.0
59,08-17,0.6,65.0
60,08-18,0.7347,49.0
61,08-24,0.6744,43.0
62,08-25,0.7925,53.0
63,08-31,0.8148,54.0
64,09-01,0.0,0.0
65,09-07,0.6882,93.0
66,09-08,0.88,75.0
67,09-14,0.7879,99.0
68,09-15,0.74,50.0
69,09-21,0.6571,35.0
70,09-22,0.4444,36.0
71,09-28,0.6364,22.0
72,09-29,0.6154,26.0
73,10-05,0.56,50.0
74,10-06,0.7667,30.0
75,10-12,0.7612,67.0
76,10-13,0.0,0.0
77,10-19,0.2407,54.0
78,10-20,0.4812,133.0
79,10-26,0.4776,67.0
80,10-27,0.0,0.0
81,11-02,0.0,0.0
82,11-03,0.7547,106.0
83,11-09,0.0,0.0
84,11-10,0.76,50.0
85,11-16,0.7879,33.0
86,11-17,0.0,0.0
87,11-23,0.8182,33.0
88,11-24,0.6092,87.0
89,11-30,0.0,0.0
90,12-01,0.7907,43.0
91,12-07,0.0,0.0
92,12-08,0.0,0.0
93,12-14,0.6458,48.0
94,12-15,0.0,0.0
95,12-21,0.6056,71.0
96,12-22,0.0,0.0
97,12-28,0.0,0.0
98,12-29,0.8095,21.0
99,01-04,0.0,0.0
100,01-05,0.0,0.0
101,01-11,0.8412,233.0
102,01-12,0.8193,83.0
103,01-18,0.6434,129.0
104,01-19,0.7083,264.0
105,02-02,0.7518,141.0
107,02-08,0.6979,96.0
108,02-09,0.75,4.0
109,02-12,0.84,25.0
110,02-13,0.6,5.0
111,02-14,1.0,49.0
112,02-15,0.0,0.0
113,02-16,0.0,0.0
114,02-19,0.7697,152.0
115,02-20,0.75,100.0
116,02-21,0.5537,121.0
117,02-22,0.9021,143.0
118,02-23,0.8396,187.0
119,02-26,0.6913,447.0
120,02-27,0.0,0.0
121,02-28,0.7442,43.0
122,02-29,0.0,0.0
123,03-01,0.785,107.0
124,03-04,0.8265,196.0
125,03-05,0.7432,148.0
126,03-06,0.8655,119.0
127,03-07,0.6845,187.0
128,03-08,0.0,0.0
129,03-11,0.8009,231.0
130,03-12,0.7313,67.0
131,03-13,0.75,68.0
132,03-14,0.7125,80.0
133,03-15,0.7807,114.0
134,03-18,0.73,237.0
135,03-19,0.0,0.0
136,03-20,0.0,0.0
137,03-21,0.8437,96.0
138,03-22,0.8514,74.0
139,03-25,0.7696,191.0
140,03-26,0.8214,56.0
141,03-27,0.8367,98.0
142,03-28,0.6562,64.0
143,03-29,0.8936,47.0
144,04-01,0.8233,249.0
145,04-02,0.8312,77.0
146,04-03,0.8489,139.0
147,04-04,0.7963,54.0
148,04-05,0.5882,17.0
149,04-08,0.774,177.0
150,04-09,0.7553,188.0
151,04-10,0.6277,94.0
152,04-11,0.9097,155.0
153,04-12,0.8491,106.0
154,04-15,0.7696,230.0
155,04-16,0.7375,80.0
156,04-17,0.8023,86.0
157,04-18,0.8214,112.0
158,04-19,0.6442,208.0
159,04-22,0.5708,212.0
160,04-23,0.5319,94.0
161,04-24,0.7982,109.0
162,04-25,0.6475,139.0
163,04-26,0.7,100.0
164,04-29,0.5423,201.0
165,04-30,0.5693,137.0
166,05-01,0.6693,127.0
167,05-02,0.7385,65.0
168,05-03,0.6458,96.0
169,05-06,0.8717,226.0
170,05-07,0.76,100.0
171,05-08,0.7886,123.0
172,05-09,0.9143,105.0
173,05-10,0.8475,59.0
174,05-13,0.7824,262.0
175,05-14,0.8421,57.0
176,05-15,0.747,83.0
177,05-16,0.9167,12.0
178,05-17,0.6923,78.0
179,05-20,0.8382,136.0
180,05-21,0.25,4.0
181,05-22,0.8696,69.0
182,05-23,0.7391,23.0
183,05-24,0.9194,62.0
184,05-27,0.0,0.0
185,05-28,0.0,0.0
186,05-29,0.0,0.0
187,05-30,0.0,0.0
188,05-31,0.7021,94.0
189,06-03,0.7187,32.0
190,06-04,0.6496,137.0
191,06-05,0.625,56.0
192,06-06,0.8302,53.0
193,06-07,0.8837,43.0
194,06-10,0.7347,49.0
195,06-11,0.7391,23.0
196,06-12,0.75,32.0
197,06-13,0.6429,14.0
198,06-14,0.6923,26.0
199,06-17,0.8696,23.0
