,date,sentiment_index,count
0,01-08,0.4,5.0
1,01-15,0.0,0.0
2,01-22,0.0,0.0
3,01-29,0.9375,16.0
4,02-05,0.0,2.0
5,02-12,0.0,0.0
6,02-19,0.0,2.0
7,02-26,0.0,0.0
8,03-05,0.0,0.0
9,03-12,0.875,16.0
10,03-19,0.6667,3.0
11,03-26,0.9091,11.0
12,04-02,0.0,0.0
13,04-09,1.0,2.0
14,04-16,0.0,0.0
15,04-23,0.0,0.0
16,04-30,0.0,0.0
17,05-07,0.8,10.0
18,05-14,0.5714,14.0
19,05-21,0.0,0.0
20,05-28,1.0,2.0
21,06-04,0.6667,3.0
22,06-11,0.0,0.0
23,06-18,0.2,15.0
24,06-25,0.0,1.0
25,07-02,1.0,5.0
26,07-09,0.0,0.0
27,07-16,0.0,0.0
28,07-23,0.4,5.0
29,07-30,0.5,4.0
30,08-06,0.0,0.0
31,08-13,0.0,0.0
32,08-20,0.0,0.0
33,08-27,0.0,1.0
34,09-03,0.0,0.0
35,09-10,1.0,1.0
36,09-17,0.0,0.0
37,09-24,0.0,0.0
38,10-01,0.0,1.0
39,10-08,0.0909,11.0
40,10-22,0.0,0.0
41,10-15,0.0,0.0
42,10-29,0.0,0.0
43,11-05,0.0,0.0
44,11-12,0.0,0.0
45,11-19,0.4286,21.0
46,11-26,0.0,0.0
47,12-03,0.5,6.0
48,12-10,0.0,0.0
49,12-17,0.0,0.0
50,12-24,1.0,6.0
51,12-31,0.0,0.0
52,01-07,0.0,0.0
53,01-14,0.0,0.0
54,01-21,0.0,0.0
55,01-28,0.0,0.0
56,02-04,1.0,5.0
57,02-11,0.0,0.0
58,02-18,0.0,0.0
59,02-25,0.0,0.0
60,02-28,0.0,0.0
61,03-04,0.0,0.0
62,03-11,1.0,1.0
63,03-18,0.0,1.0
64,03-25,0.0,0.0
65,04-01,0.0,0.0
66,04-08,0.0,0.0
68,04-12,0.0,0.0
69,04-13,0.5,2.0
70,04-14,0.0,0.0
71,04-15,0.0,0.0
72,04-18,0.0,0.0
73,04-19,0.0,0.0
74,04-20,0.0,0.0
75,04-21,0.0,0.0
76,04-22,0.0,0.0
77,04-25,0.0,0.0
78,04-26,0.0,0.0
79,04-27,0.0,0.0
80,04-28,0.0,0.0
81,04-29,0.0,0.0
82,05-02,0.0,0.0
83,05-03,0.0,0.0
84,05-04,0.0,0.0
85,05-05,-0.3333,6.0
86,05-06,0.0,0.0
87,05-09,0.0,0.0
88,05-10,0.0,0.0
89,05-11,0.0,0.0
90,05-12,1.0,6.0
91,05-13,0.0,0.0
92,05-16,0.0,0.0
93,05-17,0.0,0.0
94,05-18,1.0,1.0
95,05-19,1.0,1.0
96,05-20,0.0,0.0
97,05-23,0.0,0.0
98,05-24,0.0,0.0
99,05-25,0.0,0.0
100,05-26,0.6,5.0
101,05-27,0.5333,15.0
102,05-30,1.0,6.0
103,05-31,0.3333,3.0
104,06-01,0.5,2.0
105,06-02,0.0,0.0
106,06-03,0.0,0.0
107,06-06,0.8333,6.0
108,06-07,0.0,0.0
109,06-08,0.0,0.0
110,06-09,0.0,0.0
111,06-10,0.0,0.0
112,06-13,0.0,0.0
113,06-14,0.0,0.0
114,06-15,0.0,3.0
115,06-16,0.0,0.0
116,06-17,0.0,0.0
117,06-20,0.0,0.0
118,06-21,0.0,0.0
119,06-22,0.0,0.0
120,06-23,1.0,1.0
121,06-24,0.0,0.0
122,06-27,0.0,0.0
123,06-28,1.0,3.0
124,06-29,0.0,0.0
125,06-30,0.0,0.0
126,07-01,1.0,8.0
127,07-04,0.0,0.0
128,07-05,0.0,0.0
129,07-06,0.0,0.0
130,07-07,1.0,1.0
131,07-08,1.0,3.0
132,07-11,0.0,0.0
133,07-12,0.5,12.0
134,07-13,0.0,0.0
135,07-14,0.0,0.0
136,07-15,0.0,0.0
137,07-18,0.0,0.0
138,07-19,0.0,0.0
139,07-20,0.0,0.0
140,07-21,0.0,0.0
141,07-22,0.0,0.0
142,07-25,0.0,0.0
143,07-26,0.0,0.0
144,07-27,0.0,0.0
145,07-28,0.0,0.0
146,07-29,0.0,0.0
147,08-01,0.0,0.0
148,08-02,0.0,0.0
149,08-03,0.0,0.0
150,08-04,0.0,0.0
151,08-05,0.0,0.0
152,08-08,0.0,0.0
153,08-09,0.0,0.0
154,08-10,0.0,0.0
155,08-11,0.8333,6.0
156,08-12,0.0,0.0
157,08-15,0.0,0.0
158,08-16,0.0,0.0
159,08-17,-0.3333,3.0
160,08-18,0.0,0.0
161,08-19,0.0,0.0
162,08-22,0.0,1.0
163,08-23,0.0,0.0
164,08-24,0.0,0.0
165,08-25,0.0,0.0
166,08-26,0.0,0.0
167,08-29,0.0,2.0
168,08-30,0.0,0.0
169,08-31,0.0,0.0
170,09-01,0.0,0.0
171,09-02,0.0,0.0
172,09-05,1.0,4.0
173,09-06,0.0,0.0
174,09-07,0.0,0.0
175,09-08,0.0,0.0
176,09-09,0.0,0.0
177,09-12,0.8,5.0
178,09-13,0.0,0.0
179,09-14,0.0,1.0
180,09-15,0.0,1.0
181,09-16,0.0,0.0
182,09-19,0.8333,6.0
183,09-20,1.0,2.0
184,09-21,0.0,0.0
185,09-22,0.0,0.0
186,09-23,1.0,2.0
187,09-26,0.0,0.0
188,09-27,0.0,0.0
189,09-28,0.0,0.0
190,09-29,0.0,0.0
191,09-30,0.3333,3.0
192,10-03,0.0,0.0
193,10-04,0.0,0.0
194,10-05,0.0,0.0
195,10-06,0.0,0.0
196,10-07,0.0,0.0
197,10-10,0.0,0.0
198,10-11,0.0,0.0
199,10-12,0.0,0.0
200,10-13,0.0,0.0
201,10-14,0.0,0.0
202,10-17,0.0,0.0
203,10-18,0.0,0.0
204,10-19,0.0,0.0
205,10-20,0.0,0.0
206,10-21,0.0,0.0
207,10-24,0.0,0.0
208,10-25,0.0,0.0
209,10-26,0.0,0.0
210,10-27,0.0,0.0
211,10-28,0.0,0.0
212,10-31,0.1429,7.0
213,11-01,0.0,0.0
214,11-03,0.0,0.0
215,11-02,0.0,0.0
216,11-04,0.0,0.0
217,11-07,0.0,0.0
218,11-08,0.0,0.0
219,11-09,0.0,0.0
220,11-10,0.0,0.0
221,11-11,1.0,2.0
222,11-14,0.0,0.0
223,11-15,1.0,1.0
224,11-16,0.0,0.0
225,11-17,0.0,0.0
226,11-18,0.0,0.0
227,11-21,0.0,0.0
228,11-22,0.0,0.0
229,11-23,0.0,0.0
230,11-24,0.0,0.0
231,11-25,0.0,0.0
232,11-28,0.0,0.0
233,11-29,0.0,0.0
234,11-30,0.0,0.0
235,12-01,0.0,0.0
236,12-02,0.0,0.0
237,12-05,0.0,0.0
238,12-06,0.0,0.0
239,12-07,0.0,0.0
240,12-08,0.0,0.0
241,12-09,0.0,0.0
242,12-12,0.0,0.0
243,12-13,1.0,1.0
244,12-14,0.0,1.0
245,12-15,0.0,0.0
246,12-16,0.6667,18.0
247,12-19,0.0,0.0
248,12-20,0.0,0.0
249,12-21,0.0,0.0
250,12-22,0.0,0.0
251,12-23,0.0,0.0
252,12-26,0.0,0.0
253,12-27,0.0,0.0
254,12-28,0.0,0.0
255,12-29,0.0,0.0
256,12-30,0.1818,11.0
257,01-02,1.0,1.0
258,01-03,0.0,0.0
259,01-04,0.0,0.0
260,01-05,0.0,0.0
261,01-06,0.0,0.0
262,01-09,0.375,8.0
263,01-10,0.0,0.0
264,01-11,0.0,0.0
265,01-12,0.0,0.0
266,01-13,0.0,0.0
267,01-16,0.7778,9.0
268,01-17,0.0,0.0
269,01-18,0.0,0.0
270,01-19,0.0,0.0
271,01-20,0.0,0.0
272,01-23,0.0,0.0
273,01-24,0.0,0.0
274,01-25,0.0,0.0
275,01-26,0.0,0.0
276,01-27,0.0,0.0
277,01-30,0.0,0.0
278,01-31,0.0,0.0
