,date,sentiment_index,count
0,01-08,0.0,0.0
1,01-15,0.0,0.0
2,01-22,-0.5,2.0
3,01-29,0.0,0.0
4,02-05,-1.0,1.0
5,02-12,0.0,0.0
6,02-19,0.4444,9.0
7,02-26,1.0,1.0
8,03-05,0.0,0.0
9,03-12,0.0,0.0
10,03-19,0.0,0.0
11,03-26,0.0,0.0
12,04-02,1.0,1.0
13,04-09,0.0,0.0
14,04-16,0.0,0.0
15,04-23,0.0,0.0
16,04-30,0.0,0.0
17,05-07,0.0,0.0
18,05-14,1.0,4.0
19,05-21,0.0,0.0
20,05-28,0.0,0.0
21,06-04,0.8,5.0
22,06-11,1.0,8.0
23,06-18,1.0,10.0
24,06-25,0.5,14.0
25,07-02,0.0,0.0
26,07-09,0.0,0.0
27,07-16,0.0,1.0
28,07-23,1.0,3.0
29,07-30,0.0,0.0
30,08-06,0.0,0.0
31,08-13,0.6667,6.0
32,08-20,1.0,7.0
33,08-27,0.0,0.0
34,09-03,0.0,4.0
35,09-10,0.0,0.0
36,09-17,0.0,1.0
37,09-24,0.4286,7.0
38,10-01,0.0,1.0
39,10-08,0.0,0.0
40,10-22,0.0,0.0
41,10-15,0.0,0.0
42,10-29,0.0,0.0
43,11-05,0.3077,13.0
44,11-12,0.3333,3.0
45,11-19,0.7,10.0
46,11-26,0.0,0.0
47,12-03,0.0,0.0
48,12-10,0.0,0.0
49,12-17,1.0,3.0
50,12-24,0.0,0.0
52,12-30,0.1667,12.0
53,12-31,1.0,5.0
54,01-03,0.0,1.0
55,01-04,0.0,0.0
56,01-05,0.0,0.0
57,01-06,0.0,0.0
58,01-07,-0.8462,13.0
59,01-10,0.0,0.0
60,01-11,-1.0,1.0
61,01-12,0.0,0.0
62,01-13,0.0,0.0
63,01-14,0.0,0.0
64,01-17,0.75,8.0
65,01-18,0.0,1.0
66,01-19,0.0,0.0
67,01-20,0.0,0.0
68,01-21,1.0,3.0
69,01-24,1.0,1.0
70,01-25,1.0,8.0
71,01-26,1.0,4.0
72,01-27,0.0,0.0
73,01-28,0.0,0.0
74,01-31,0.5,2.0
75,02-01,0.0,0.0
76,02-02,0.0,0.0
77,02-03,0.0,0.0
78,02-04,0.0,0.0
79,02-07,1.0,4.0
80,02-08,1.0,3.0
81,02-09,0.0,0.0
82,02-10,0.0,0.0
83,02-11,0.0,0.0
84,02-14,1.0,11.0
85,02-15,1.0,3.0
86,02-16,0.0,1.0
87,02-17,0.6364,11.0
88,02-18,0.0,0.0
89,02-21,0.0,0.0
90,02-22,0.0,0.0
91,02-23,0.0,0.0
92,02-24,0.0,0.0
93,02-25,0.0,0.0
94,02-28,0.875,16.0
95,03-01,0.0,0.0
96,03-02,0.0,0.0
