,date,sentiment_index,count
0,01-08,0.3333,3.0
1,01-15,1.0,10.0
2,01-22,1.0,1.0
3,01-29,0.7333,15.0
4,02-05,1.0,26.0
5,02-12,0.0,0.0
6,02-19,0.0,4.0
7,02-26,1.0,1.0
8,03-05,1.0,21.0
9,03-12,1.0,1.0
10,03-19,0.0,8.0
11,03-26,0.6667,9.0
12,04-02,1.0,7.0
13,04-09,0.6667,3.0
14,04-16,0.875,8.0
15,04-23,1.0,5.0
16,04-30,1.0,8.0
17,05-07,0.6,5.0
18,05-14,0.7273,11.0
19,05-21,0.0,0.0
20,05-28,0.7255,51.0
21,06-04,1.0,3.0
22,06-11,0.8235,17.0
23,06-18,0.0,1.0
24,06-25,1.0,5.0
25,07-02,1.0,13.0
26,07-09,1.0,1.0
27,07-16,0.5,4.0
28,07-23,0.0,0.0
29,07-30,0.625,8.0
30,08-06,0.5,8.0
31,08-13,0.7273,11.0
32,08-20,0.0,0.0
33,08-27,0.6667,21.0
34,09-03,0.7059,17.0
35,09-10,0.7917,24.0
36,09-17,1.0,1.0
37,09-24,1.0,3.0
38,10-01,0.4286,7.0
39,10-08,1.0,5.0
40,10-22,1.0,2.0
41,10-15,0.0,0.0
42,10-29,0.6667,6.0
43,11-05,1.0,2.0
44,11-12,0.8462,13.0
45,11-19,0.0,0.0
46,11-26,0.0,2.0
47,12-03,0.0,4.0
48,12-10,1.0,18.0
49,12-17,0.7143,7.0
50,12-24,0.0,1.0
51,12-31,0.0,0.0
52,01-07,0.8667,15.0
53,01-14,1.0,1.0
54,01-21,0.8,5.0
55,01-28,0.0,0.0
56,02-04,0.0,0.0
57,02-11,0.8421,19.0
58,02-18,0.0,0.0
59,02-21,0.6,10.0
60,02-22,1.0,1.0
61,02-23,0.0,0.0
62,02-24,0.0,0.0
63,02-25,0.0,0.0
64,02-28,0.9,10.0
65,03-01,0.0,0.0
66,03-02,0.0,2.0
67,03-03,1.0,3.0
68,03-04,0.0,1.0
69,03-07,0.9231,13.0
70,03-08,0.0,0.0
71,03-09,1.0,4.0
72,03-10,1.0,3.0
73,03-11,0.7143,7.0
74,03-14,0.0,0.0
75,03-15,1.0,2.0
76,03-16,1.0,3.0
77,03-17,0.0,0.0
78,03-18,0.0,0.0
79,03-21,0.5714,14.0
80,03-22,0.8571,7.0
81,03-23,0.7143,7.0
82,03-24,0.8571,7.0
83,03-25,1.0,5.0
84,03-28,0.0,0.0
85,03-29,1.0,1.0
86,03-30,0.9412,17.0
87,03-31,1.0,2.0
88,04-01,1.0,1.0
89,04-04,-0.125,8.0
90,04-05,1.0,1.0
91,04-06,1.0,1.0
92,04-07,0.5,2.0
93,04-08,0.6667,12.0
94,04-11,0.9474,38.0
95,04-12,0.6667,9.0
96,04-13,0.7778,18.0
97,04-14,0.6957,23.0
98,04-15,1.0,1.0
99,04-18,0.0,0.0
100,04-19,0.0,0.0
101,04-20,0.8,5.0
102,04-21,1.0,4.0
103,04-22,0.9,10.0
104,04-25,1.0,3.0
105,04-26,0.0,0.0
106,04-27,0.0,0.0
107,04-28,0.0,0.0
108,04-29,0.3333,3.0
109,05-02,0.5,2.0
110,05-03,0.0,0.0
111,05-04,1.0,1.0
112,05-05,0.0,0.0
113,05-06,0.5,2.0
114,05-09,1.0,3.0
115,05-10,0.8889,18.0
116,05-11,0.8571,7.0
117,05-12,0.0,10.0
118,05-13,0.5,4.0
119,05-16,1.0,7.0
120,05-17,0.6667,6.0
121,05-18,1.0,4.0
122,05-19,0.6579,38.0
123,05-20,0.9,10.0
124,05-23,0.9333,30.0
125,05-24,0.0,0.0
126,05-25,0.5,2.0
127,05-26,0.0,0.0
128,05-27,0.6667,18.0
129,05-30,0.8,20.0
130,05-31,0.75,8.0
131,06-01,0.0,2.0
132,06-02,0.8,5.0
