,date,sentiment_index,count
0,01-08,0.0,0.0
1,01-15,1.0,1.0
2,01-22,0.0,0.0
3,01-29,1.0,1.0
4,02-05,0.0,0.0
5,02-12,0.0,0.0
6,02-19,0.0,0.0
7,02-26,0.0,0.0
8,03-05,1.0,1.0
9,03-12,1.0,6.0
10,03-19,1.0,1.0
11,03-26,0.0,0.0
12,04-02,0.0,0.0
13,04-09,0.0,0.0
14,04-16,0.0,0.0
15,04-23,0.0,0.0
16,04-30,0.0,0.0
17,05-07,0.7692,13.0
18,05-14,0.0,0.0
19,05-21,0.0,0.0
20,05-28,0.5,4.0
21,06-04,1.0,1.0
22,06-11,0.0,0.0
23,06-18,0.0,2.0
24,06-25,0.0,0.0
25,07-02,0.0,0.0
26,07-09,0.0,0.0
27,07-16,0.0,1.0
29,07-21,0.0,2.0
30,07-22,0.0,0.0
31,07-23,0.6087,23.0
32,07-27,0.0,0.0
33,07-28,0.0,0.0
34,07-29,0.0,0.0
35,07-30,0.0,0.0
36,08-02,1.0,1.0
37,08-03,0.0,0.0
38,08-04,0.0,0.0
39,08-05,0.75,4.0
40,08-06,0.0,0.0
41,08-09,0.6429,14.0
42,08-10,1.0,6.0
43,08-11,0.0,0.0
44,08-12,0.0,0.0
45,08-13,0.0,0.0
46,08-16,0.0,0.0
47,08-17,1.0,2.0
48,08-18,0.0,0.0
49,08-19,0.0,0.0
50,08-20,0.0,9.0
51,08-23,0.75,4.0
52,08-24,1.0,2.0
53,08-25,0.0,0.0
54,08-26,0.0,0.0
55,08-27,0.0,0.0
56,08-30,0.0,0.0
57,08-31,0.0,0.0
58,09-01,0.0,0.0
59,09-02,0.0,0.0
60,09-03,0.0,0.0
61,09-06,0.0,0.0
62,09-07,0.2857,7.0
63,09-08,0.0,0.0
64,09-09,0.0,0.0
65,09-10,0.0,0.0
66,09-13,0.0,0.0
67,09-14,0.0,0.0
68,09-15,0.0,0.0
69,09-16,0.0,0.0
70,09-17,0.0,0.0
71,09-22,0.0,0.0
72,09-23,0.0,0.0
73,09-24,0.0,0.0
74,09-27,0.0,0.0
75,09-28,0.0,0.0
76,09-29,0.6667,9.0
77,09-30,0.6667,9.0
78,10-01,0.0,0.0
79,10-04,1.0,1.0
80,10-05,0.0,0.0
81,10-06,0.0,0.0
82,10-07,1.0,2.0
83,10-08,0.0,1.0
84,10-11,0.9091,11.0
85,10-12,1.0,3.0
86,10-13,1.0,1.0
87,10-14,0.0,0.0
88,10-22,0.0,0.0
89,10-15,0.0,0.0
90,10-18,1.0,1.0
91,10-19,0.0,0.0
92,10-20,1.0,2.0
93,10-21,0.0,0.0
94,10-25,1.0,3.0
95,10-26,0.0,0.0
96,10-27,0.0,0.0
97,10-28,0.0,0.0
98,10-29,0.0,0.0
99,11-01,0.0,1.0
100,11-02,0.0,0.0
101,11-03,0.0,0.0
102,11-04,0.0,0.0
103,11-05,0.0,0.0
104,11-08,0.8889,9.0
105,11-09,0.0,0.0
106,11-10,0.0,0.0
107,11-11,0.0,1.0
108,11-12,0.0,0.0
109,11-15,1.0,3.0
110,11-16,0.0,0.0
111,11-17,1.0,1.0
112,11-18,1.0,1.0
113,11-19,0.0,0.0
114,11-22,0.0,0.0
115,11-23,0.0,0.0
116,11-24,0.0,0.0
117,11-25,1.0,1.0
118,11-26,0.0,0.0
119,11-29,1.0,1.0
120,11-30,0.0,0.0
121,12-01,0.0,0.0
122,12-02,0.0,0.0
123,12-03,0.0,0.0
124,12-06,0.0,0.0
125,12-07,0.625,8.0
126,12-08,0.0,0.0
127,12-09,1.0,2.0
128,12-10,0.0,0.0
129,12-13,-1.0,1.0
130,12-14,0.0,0.0
131,12-15,1.0,1.0
132,12-16,0.0,0.0
133,12-17,0.0,0.0
134,12-20,0.0,0.0
135,12-21,0.0,0.0
136,12-22,0.0,4.0
137,12-23,0.0,0.0
138,12-24,0.0,0.0
139,12-27,0.0,0.0
140,12-28,0.0,0.0
141,12-29,0.0,0.0
142,12-30,-1.0,1.0
143,12-31,0.0,0.0
144,01-03,0.0,0.0
145,01-04,1.0,1.0
146,01-05,0.0,0.0
147,01-06,0.0,0.0
148,01-07,0.0,0.0
149,01-10,1.0,1.0
150,01-11,0.5,4.0
151,01-12,0.0,0.0
152,01-13,0.0,0.0
153,01-14,1.0,4.0
154,01-17,0.0,0.0
155,01-18,0.0,0.0
156,01-19,0.5,2.0
157,01-20,0.5,2.0
158,01-21,0.0,0.0
159,01-24,1.0,3.0
160,01-25,0.0,1.0
161,01-26,1.0,2.0
162,01-27,1.0,3.0
163,01-28,0.0,0.0
164,01-31,0.0,0.0
165,02-01,0.0,0.0
166,02-02,0.0,0.0
167,02-03,0.0,0.0
168,02-04,0.0,0.0
169,02-07,0.0,0.0
170,02-08,1.0,5.0
171,02-09,0.0,0.0
172,02-10,0.0,0.0
173,02-11,0.0,0.0
174,02-14,0.3333,3.0
175,02-15,1.0,11.0
176,02-16,0.0,0.0
177,02-17,0.0,0.0
178,02-18,0.0,0.0
179,02-21,1.0,1.0
180,02-22,0.0,0.0
181,02-23,0.0,1.0
182,02-24,0.0,0.0
183,02-25,0.0,0.0
184,02-28,0.0,0.0
185,03-01,0.0,0.0
186,03-02,0.0,0.0
187,03-03,0.0,0.0
188,03-04,0.0,0.0
189,03-07,0.5,2.0
190,03-08,1.0,1.0
191,03-09,0.3636,11.0
192,03-10,0.0,0.0
193,03-11,0.0,0.0
194,03-14,1.0,2.0
195,03-15,0.0,0.0
196,03-16,0.0,0.0
197,03-17,0.0,0.0
198,03-18,0.0,0.0
199,03-21,0.0,0.0
200,03-22,0.0,0.0
201,03-23,0.0,0.0
202,03-24,0.0,0.0
203,03-25,0.0,2.0
204,03-28,0.5,2.0
205,03-29,0.0,0.0
206,03-30,0.5,2.0
207,03-31,0.0,1.0
208,04-01,0.0,0.0
209,04-04,0.0,0.0
210,04-05,0.0,0.0
211,04-06,0.75,4.0
212,04-07,0.75,4.0
213,04-08,0.0,0.0
214,04-11,-0.3333,3.0
215,04-12,0.375,8.0
216,04-13,0.0,0.0
217,04-14,1.0,2.0
218,04-15,0.0,0.0
219,04-18,1.0,1.0
220,04-19,0.0,0.0
221,04-20,0.0,0.0
222,04-21,0.0,0.0
223,04-22,0.0,0.0
224,04-25,0.0,0.0
225,04-26,1.0,3.0
226,04-27,0.0,0.0
227,04-28,0.0,0.0
228,04-29,0.0,0.0
229,05-02,0.0,1.0
230,05-03,0.0,0.0
231,05-04,0.0,0.0
232,05-05,0.0,0.0
233,05-06,0.0,0.0
234,05-09,0.0,0.0
235,05-10,0.0,0.0
236,05-11,0.0,0.0
237,05-12,0.0,0.0
238,05-13,0.0,0.0
239,05-16,1.0,1.0
240,05-17,1.0,1.0
241,05-18,1.0,3.0
242,05-19,0.0,0.0
243,05-20,0.0,0.0
244,05-23,0.0,0.0
245,05-24,0.0,0.0
246,05-25,0.0,1.0
247,05-26,0.5,2.0
248,05-27,-0.2,5.0
