,date,sentiment_index,count
0,01-22,0.0,0.0
1,01-29,0.0,0.0
2,02-05,1.0,1.0
3,05-21,0.0,0.0
4,05-28,0.0,0.0
5,06-04,0.0,0.0
6,06-11,0.0,0.0
7,06-18,0.0,0.0
8,06-25,0.0,0.0
9,07-02,0.0,0.0
10,07-09,0.0,0.0
11,07-16,0.0,0.0
12,07-23,0.0,0.0
13,07-30,0.0,0.0
14,08-06,0.0,4.0
15,08-13,0.0,0.0
16,08-20,0.0,0.0
17,08-27,0.0,0.0
18,09-03,0.0,0.0
19,09-10,0.0,0.0
20,09-17,0.0,0.0
21,09-24,0.0,0.0
22,10-01,0.0,0.0
23,10-08,1.0,1.0
24,10-22,0.0,0.0
25,10-15,0.0,0.0
26,10-29,0.0,0.0
27,11-05,0.0,0.0
28,11-12,0.0,0.0
29,11-19,0.0,0.0
30,11-26,0.0,0.0
31,12-03,0.0,0.0
32,12-10,0.0,0.0
33,12-17,0.0,0.0
34,12-24,0.75,4.0
35,12-31,0.0,0.0
36,01-07,0.0,0.0
37,01-14,0.0,0.0
38,01-21,0.0,0.0
39,01-28,0.0,0.0
40,02-04,0.0,0.0
41,02-11,0.0,0.0
42,02-18,0.0,0.0
43,02-25,0.0,0.0
44,05-20,1.0,6.0
45,05-27,0.0,0.0
46,06-03,0.0,0.0
47,06-10,0.6,5.0
48,06-17,0.0,0.0
49,06-24,0.0,0.0
50,07-01,0.0,0.0
51,07-08,0.0,0.0
52,07-15,0.0,0.0
53,07-22,0.0,0.0
54,07-29,0.0,0.0
55,08-05,0.0,0.0
56,08-12,0.0,0.0
57,08-19,0.0,0.0
58,08-26,0.0,0.0
59,09-02,0.0,0.0
60,09-09,0.0,0.0
61,09-16,0.0,0.0
62,09-23,0.0,0.0
63,09-30,0.0,0.0
64,10-07,1.0,3.0
65,10-14,0.0,0.0
66,10-21,1.0,1.0
67,10-28,0.0,0.0
68,11-04,0.0,0.0
69,11-11,0.0,0.0
70,11-18,0.0,0.0
71,11-25,0.6667,9.0
72,12-02,0.0,0.0
73,12-09,0.0,0.0
74,12-16,0.0,0.0
75,12-23,0.0,0.0
76,12-30,0.6,5.0
77,01-06,1.0,3.0
78,01-13,0.0,0.0
79,01-20,0.0,0.0
80,01-23,0.0,0.0
81,01-24,0.0,0.0
82,01-25,0.0,0.0
83,01-26,0.0,0.0
84,01-27,0.0,0.0
85,01-30,0.0,0.0
86,01-31,0.0,0.0
87,02-01,0.0,0.0
88,02-03,0.0,0.0
89,02-10,0.0,1.0
90,02-17,0.0,1.0
91,02-24,0.0,0.0
92,03-02,0.0,0.0
93,03-03,0.0,0.0
94,03-09,0.0,0.0
95,03-10,0.0,0.0
96,03-16,0.0,0.0
97,03-17,0.0,0.0
98,03-23,0.0,0.0
99,03-24,0.0,0.0
100,03-30,0.0,0.0
101,03-31,0.0,0.0
102,04-06,0.0,0.0
103,04-07,0.0,0.0
104,04-13,0.0,0.0
105,04-14,0.0,0.0
106,04-20,0.0,0.0
107,04-21,0.0,0.0
108,04-27,0.0,0.0
109,04-28,0.0,0.0
110,05-04,0.0,0.0
111,05-05,0.0,0.0
112,05-11,0.0,0.0
113,05-12,0.0,0.0
115,05-17,0.0,0.0
116,05-18,0.0,0.0
117,05-19,0.0,0.0
118,05-22,0.0,0.0
119,05-23,0.0,0.0
120,05-24,0.0,0.0
121,05-25,0.0,0.0
122,05-26,0.0,0.0
123,05-29,0.0,0.0
124,05-30,0.0,0.0
125,05-31,0.0,0.0
126,06-01,0.0,0.0
127,06-02,0.0,0.0
128,06-05,0.0,0.0
129,06-06,0.0,0.0
130,06-07,0.0,0.0
131,06-08,0.0,0.0
132,06-09,0.0,0.0
133,06-12,0.0,0.0
134,06-13,0.0,0.0
135,06-14,0.0,0.0
136,06-15,1.0,2.0
137,06-16,0.0,0.0
138,06-19,1.0,1.0
139,06-20,0.0,0.0
140,06-21,0.0,0.0
141,06-22,0.0,0.0
142,06-23,0.0,0.0
143,06-26,0.0,0.0
144,06-27,0.0,0.0
145,06-28,0.0,0.0
146,06-29,0.0,0.0
147,06-30,0.0,0.0
148,07-03,0.0,0.0
149,07-04,0.0,0.0
150,07-05,0.0,0.0
151,07-06,0.0,0.0
152,07-07,1.0,1.0
153,07-10,1.0,1.0
154,07-11,0.0,0.0
155,07-12,0.0,0.0
156,07-13,0.0,0.0
157,07-14,0.0,0.0
158,07-17,0.0,0.0
159,07-18,0.0,0.0
160,07-19,0.0,0.0
161,07-20,0.0,0.0
162,07-21,0.0,0.0
163,07-24,0.0,0.0
164,07-25,0.0,0.0
165,07-26,0.0,0.0
166,07-27,0.0,0.0
167,07-28,1.0,2.0
168,07-31,0.0,0.0
169,08-01,1.0,1.0
170,08-02,0.0,0.0
171,08-03,0.0,0.0
172,08-04,0.0,0.0
173,08-07,0.0,0.0
174,08-08,1.0,2.0
175,08-09,0.0,0.0
176,08-10,0.0,0.0
177,08-11,0.0,0.0
178,08-14,0.0,0.0
179,08-15,0.0,0.0
180,08-16,1.0,2.0
181,08-17,0.0,0.0
182,08-18,0.0,0.0
183,08-21,0.0,0.0
184,08-22,0.0,0.0
185,08-23,0.0,0.0
186,08-24,0.0,0.0
187,08-25,0.0,0.0
188,08-28,0.0,0.0
189,08-29,0.0,0.0
190,08-30,0.0,0.0
191,08-31,0.8462,13.0
192,09-01,0.0,0.0
193,09-04,0.0,0.0
194,09-05,0.0,0.0
195,09-06,0.0,0.0
196,09-07,0.0,0.0
197,09-08,0.0,0.0
198,09-11,1.0,2.0
