,date,sentiment_index,count
0,01-22,0.68,25.0
1,01-29,0.5,2.0
2,02-05,0.0,0.0
3,07-09,0.5526,38.0
4,01-21,0.5714,14.0
5,01-28,0.3333,3.0
6,02-04,0.0,0.0
7,02-11,0.7857,14.0
8,02-18,0.4,5.0
9,02-25,0.7857,14.0
10,07-08,0.65,20.0
11,01-20,0.0,0.0
12,01-23,1.0,1.0
13,01-24,0.0,0.0
14,01-25,0.0,0.0
15,01-26,0.0,0.0
16,01-27,0.5,2.0
17,01-30,1.0,8.0
18,01-31,1.0,1.0
19,02-01,1.0,1.0
20,02-03,1.0,2.0
21,02-10,0.8125,16.0
22,02-17,0.4,5.0
23,02-24,0.8667,15.0
24,03-02,0.3333,6.0
25,03-03,1.0,6.0
26,03-09,0.8947,19.0
27,03-10,0.7059,17.0
28,03-16,0.3846,13.0
29,03-17,1.0,2.0
30,03-23,0.8,10.0
31,03-24,0.7333,30.0
32,03-30,0.7143,21.0
33,03-31,1.0,7.0
34,04-06,0.3333,3.0
35,04-07,0.0,0.0
36,04-13,0.75,4.0
37,04-14,0.6429,14.0
38,04-20,0.0,0.0
39,04-21,0.6,15.0
40,04-27,0.0,0.0
41,04-28,1.0,6.0
42,05-04,0.4286,7.0
43,05-05,1.0,1.0
44,05-11,0.9643,28.0
45,05-12,0.7429,35.0
46,05-18,0.125,8.0
47,05-19,0.0,0.0
48,05-25,1.0,9.0
49,05-26,0.0,0.0
50,06-01,0.8182,11.0
51,06-02,0.0,0.0
52,06-08,0.875,16.0
53,06-09,0.75,16.0
54,06-15,0.25,16.0
55,06-16,0.8182,11.0
56,06-22,0.0,0.0
57,06-23,1.0,2.0
58,06-29,0.0,0.0
59,06-30,0.0,1.0
60,07-06,0.8,5.0
61,07-07,1.0,1.0
62,07-13,0.0,0.0
63,07-14,1.0,4.0
64,07-20,0.5,2.0
65,07-21,0.0,0.0
66,07-27,1.0,8.0
67,07-28,0.7143,7.0
68,08-03,0.3333,3.0
69,08-04,0.7778,27.0
70,08-10,0.75,4.0
71,08-11,0.8929,28.0
72,08-17,0.6,15.0
73,08-18,0.8462,13.0
74,08-24,0.5,2.0
75,08-25,1.0,7.0
76,08-31,0.5,10.0
77,09-01,0.0,0.0
78,09-07,0.8571,7.0
79,09-08,0.0,0.0
80,09-14,0.6,20.0
81,09-15,0.4,10.0
82,09-21,1.0,1.0
83,09-22,0.0,0.0
84,09-28,0.0,2.0
85,09-29,0.5714,14.0
86,10-05,0.0,0.0
87,10-06,0.0,0.0
88,10-12,0.7895,19.0
89,10-13,0.0,0.0
90,10-19,0.0,2.0
91,10-20,1.0,1.0
92,10-26,-1.0,3.0
93,10-27,0.0,0.0
94,11-02,0.0,0.0
95,11-03,0.625,8.0
96,11-09,0.0,0.0
97,11-10,0.7941,34.0
98,11-16,0.0,1.0
99,11-17,0.0,0.0
100,11-23,0.8,5.0
101,11-24,0.0714,14.0
102,11-30,0.0,0.0
103,12-01,0.4,5.0
104,12-07,0.0,0.0
105,12-08,0.0,0.0
106,12-14,0.0,0.0
107,12-15,0.0,0.0
108,12-21,1.0,2.0
109,12-22,0.0,0.0
110,12-28,0.0,0.0
111,12-29,0.5789,19.0
112,01-04,0.0,0.0
113,01-05,0.0,0.0
114,01-11,0.7833,60.0
115,01-12,0.8,5.0
117,01-18,1.0,2.0
118,01-19,0.0,0.0
119,02-02,0.0,0.0
120,02-06,0.4615,13.0
121,02-07,0.0,0.0
122,02-08,0.5,4.0
123,02-09,0.0,0.0
124,02-12,0.0,0.0
125,02-13,0.0,0.0
126,02-14,0.0,0.0
127,02-15,0.0,0.0
128,02-16,0.0,0.0
129,02-19,0.0,3.0
130,02-20,0.5,4.0
131,02-21,1.0,11.0
132,02-22,0.5,8.0
133,02-23,0.0,2.0
134,02-26,0.5,16.0
135,02-27,0.0,0.0
136,02-28,0.0,0.0
137,02-29,0.0,0.0
138,03-01,0.8,10.0
139,03-04,0.0909,11.0
140,03-05,0.5,4.0
141,03-06,0.0,0.0
142,03-07,0.7857,14.0
143,03-08,0.0,0.0
144,03-11,0.7436,39.0
145,03-12,0.7187,32.0
146,03-13,0.0,0.0
147,03-14,0.5806,31.0
148,03-15,1.0,17.0
149,03-18,0.5385,26.0
150,03-19,0.0,0.0
151,03-20,0.0,0.0
152,03-21,0.1667,6.0
153,03-22,0.0,0.0
154,03-25,0.3333,3.0
155,03-26,0.25,4.0
156,03-27,0.7917,24.0
157,03-28,1.0,2.0
158,03-29,0.0,0.0
159,04-01,0.5,8.0
160,04-02,0.0,0.0
161,04-03,1.0,5.0
162,04-04,0.0,0.0
163,04-05,0.0,0.0
164,04-08,0.3333,6.0
165,04-09,0.3333,3.0
166,04-10,1.0,2.0
167,04-11,0.64,25.0
168,04-12,0.5714,7.0
169,04-15,1.0,1.0
170,04-16,0.5,4.0
171,04-17,0.0,0.0
172,04-18,1.0,1.0
173,04-19,0.6,5.0
174,04-22,0.6,5.0
175,04-23,0.6667,3.0
176,04-24,0.0,0.0
177,04-25,0.625,8.0
178,04-26,0.5294,17.0
179,04-29,0.9,30.0
180,04-30,0.6154,26.0
181,05-01,0.5,12.0
182,05-02,0.0,4.0
183,05-03,0.7059,17.0
184,05-06,0.9643,28.0
185,05-07,0.5714,14.0
186,05-08,0.7568,37.0
187,05-09,0.6364,11.0
188,05-10,0.8,20.0
189,05-13,0.75,28.0
190,05-14,0.0,0.0
191,05-15,0.0,13.0
192,05-16,0.2222,9.0
193,05-17,1.0,2.0
194,05-20,0.6,5.0
195,05-21,0.3333,3.0
196,05-22,1.0,1.0
197,05-23,0.0,0.0
198,05-24,0.0,0.0
199,05-27,0.0,0.0
200,05-28,0.0,0.0
201,05-29,0.0,0.0
202,05-30,0.0,0.0
