,date,sentiment_index,count
0,01-22,1.0,5.0
1,01-29,0.6923,13.0
2,02-05,1.0,7.0
3,07-09,1.0,4.0
4,10-22,0.25,4.0
5,10-29,0.0,0.0
6,11-05,1.0,2.0
7,11-12,0.0,0.0
8,11-19,1.0,2.0
9,11-26,0.0,0.0
10,12-03,1.0,2.0
11,12-10,0.625,8.0
12,12-17,0.0,2.0
13,12-24,0.875,8.0
14,12-31,0.0,0.0
15,01-07,0.0,0.0
16,01-14,0.0,0.0
17,01-21,0.0,0.0
18,01-28,0.0,0.0
19,02-04,0.0,0.0
20,02-11,0.0,0.0
21,02-18,0.8333,6.0
22,02-25,1.0,2.0
23,07-08,1.0,4.0
24,10-21,1.0,1.0
25,10-28,1.0,1.0
26,11-04,0.6667,3.0
27,11-11,0.6667,3.0
28,11-18,0.0,0.0
29,11-25,0.7692,13.0
30,12-02,0.0,0.0
31,12-09,0.0,0.0
32,12-16,0.0,0.0
33,12-23,0.0,0.0
34,12-30,1.0,2.0
35,01-06,1.0,5.0
36,01-13,0.2222,9.0
37,01-20,0.0,1.0
38,01-23,0.0,0.0
39,01-24,0.0,0.0
40,01-25,0.0,0.0
41,01-26,0.0,0.0
42,01-27,0.0,0.0
43,01-30,0.0,0.0
44,01-31,0.0,2.0
45,02-01,0.0,0.0
46,02-03,0.0,2.0
47,02-10,1.0,4.0
48,02-17,1.0,1.0
49,02-24,0.6667,3.0
50,03-02,1.0,5.0
51,03-03,0.0,0.0
52,03-09,0.9524,21.0
53,03-10,0.0,0.0
54,03-16,0.0,1.0
55,03-17,0.0,0.0
56,03-23,1.0,1.0
57,03-24,0.5,2.0
58,03-30,0.0,0.0
59,03-31,0.0,0.0
60,04-06,0.0,0.0
61,04-07,0.0,0.0
62,04-13,0.0,0.0
63,04-14,0.0,0.0
64,04-20,0.0,0.0
65,04-21,0.0,0.0
66,04-27,0.7,10.0
67,04-28,0.75,4.0
68,05-04,1.0,4.0
69,05-05,0.0,1.0
70,05-11,0.0,0.0
71,05-12,0.0,0.0
72,05-18,0.0,0.0
73,05-19,0.0,0.0
74,05-25,1.0,1.0
75,05-26,0.0,0.0
76,06-01,1.0,2.0
77,06-02,0.0,0.0
78,06-08,1.0,5.0
79,06-09,1.0,1.0
80,06-15,0.3333,3.0
81,06-16,0.5,2.0
82,06-22,0.0,0.0
83,06-23,1.0,1.0
84,06-29,0.0,0.0
85,06-30,0.0,3.0
86,07-06,1.0,2.0
87,07-07,0.6667,3.0
88,07-13,0.0,0.0
89,07-14,0.0,0.0
90,07-20,1.0,1.0
91,07-21,1.0,5.0
92,07-27,0.9474,19.0
93,07-28,1.0,1.0
94,08-03,1.0,7.0
95,08-04,0.6667,3.0
96,08-10,0.7273,11.0
97,08-11,0.0,0.0
98,08-17,0.6154,13.0
99,08-18,0.0,1.0
100,08-24,0.0,0.0
101,08-25,0.0,0.0
102,08-31,1.0,1.0
103,09-01,0.0,0.0
104,09-07,0.0,0.0
105,09-08,0.6667,6.0
106,09-14,0.6667,3.0
107,09-15,1.0,3.0
108,09-21,0.0,0.0
109,09-22,0.0,0.0
110,09-28,0.0,0.0
111,09-29,0.0,0.0
112,10-05,0.0,0.0
113,10-06,1.0,10.0
114,10-12,1.0,2.0
115,10-13,0.0,0.0
117,10-17,0.0,0.0
118,10-18,0.5,2.0
119,10-19,0.2308,13.0
