,date,sentiment_index,count
0,01-08,0.9286,28.0
1,01-15,0.9375,16.0
2,01-22,0.7778,9.0
3,01-29,0.7429,35.0
4,02-05,1.0,9.0
5,02-12,0.0,0.0
6,02-19,0.6765,34.0
7,02-26,0.9643,28.0
8,03-05,0.9355,31.0
9,03-12,0.6364,11.0
10,03-19,0.5,6.0
11,03-26,0.5882,17.0
12,04-02,1.0,4.0
13,04-09,1.0,29.0
14,04-16,0.7949,39.0
15,04-23,0.7037,27.0
16,04-30,0.6364,11.0
17,05-07,0.7857,28.0
18,05-14,0.8929,28.0
19,05-21,0.5556,9.0
20,05-28,0.8,5.0
21,06-04,0.3265,49.0
22,06-11,0.9216,51.0
23,06-18,0.9333,15.0
24,06-25,0.8125,16.0
25,07-02,0.84,25.0
26,07-09,0.8889,18.0
28,07-14,0.8235,17.0
29,07-15,0.8182,11.0
30,07-16,0.2561,82.0
31,07-19,0.8519,27.0
32,07-20,0.9167,36.0
33,07-21,0.6667,9.0
34,07-22,0.5217,23.0
35,07-23,0.6667,12.0
36,07-27,1.0,8.0
37,07-28,0.9545,22.0
38,07-29,0.9091,11.0
39,07-30,1.0,26.0
40,08-02,0.4286,7.0
41,08-03,1.0,14.0
42,08-04,0.9333,15.0
43,08-05,0.0,0.0
44,08-06,0.0,0.0
45,08-09,0.6,20.0
46,08-10,0.9167,24.0
47,08-11,0.9062,32.0
48,08-12,0.6,20.0
49,08-13,0.8358,67.0
50,08-16,0.8043,46.0
51,08-17,0.7273,11.0
52,08-18,0.0,0.0
53,08-19,1.0,408.0
54,08-20,0.9655,29.0
55,08-23,0.8189,127.0
56,08-24,1.0,21.0
57,08-25,0.6905,42.0
58,08-26,1.0,11.0
59,08-27,0.96,25.0
60,08-30,0.6875,32.0
61,08-31,0.7895,38.0
62,09-01,1.0,17.0
63,09-02,0.4615,13.0
64,09-03,1.0,3.0
65,09-06,0.6,10.0
66,09-07,1.0,14.0
67,09-08,0.7273,11.0
68,09-09,0.5556,9.0
69,09-10,1.0,16.0
70,09-13,0.8636,88.0
71,09-14,0.0,0.0
72,09-15,0.0,0.0
73,09-16,0.9615,104.0
74,09-17,1.0,2.0
75,09-22,0.8,5.0
76,09-23,0.0,0.0
77,09-24,0.5,2.0
78,09-27,0.9487,39.0
79,09-28,0.4,10.0
80,09-29,0.9091,22.0
81,09-30,0.8,30.0
82,10-01,0.1667,18.0
83,10-04,0.6383,47.0
84,10-05,0.9667,30.0
85,10-06,0.5,12.0
86,10-07,0.75,8.0
87,10-08,1.0,8.0
88,10-11,0.75,16.0
89,10-12,0.6875,16.0
90,10-13,0.9091,11.0
91,10-14,0.5,4.0
92,10-22,0.8889,9.0
93,10-15,1.0,6.0
94,10-18,1.0,3.0
95,10-19,0.5,8.0
96,10-20,0.8,10.0
97,10-21,1.0,2.0
98,10-25,1.0,17.0
99,10-26,0.5,14.0
100,10-27,0.8,10.0
101,10-28,0.75,24.0
102,10-29,1.0,10.0
103,11-01,0.25,16.0
104,11-02,0.75,24.0
105,11-03,0.7273,11.0
106,11-04,0.7619,21.0
107,11-05,0.875,8.0
108,11-08,0.8437,32.0
109,11-09,0.8611,36.0
110,11-10,0.8,5.0
111,11-11,0.9677,31.0
112,11-12,0.7273,22.0
113,11-15,0.4706,17.0
114,11-16,0.8,30.0
115,11-17,1.0,6.0
116,11-18,0.8889,9.0
117,11-19,0.6,40.0
118,11-22,0.9,10.0
119,11-23,0.6842,19.0
120,11-24,0.7727,22.0
121,11-25,0.7955,44.0
122,11-26,0.7273,11.0
123,11-29,0.5,8.0
124,11-30,0.7273,33.0
125,12-01,0.7826,23.0
126,12-02,0.5,12.0
127,12-03,1.0,6.0
128,12-06,0.75,12.0
129,12-07,0.5,12.0
130,12-08,0.8929,28.0
131,12-09,0.5,8.0
132,12-10,0.9,20.0
133,12-13,0.8571,28.0
134,12-14,0.9474,19.0
135,12-15,0.4545,11.0
136,12-16,0.75,8.0
137,12-17,1.0,4.0
138,12-20,0.8182,11.0
139,12-21,1.0,17.0
140,12-22,0.2143,14.0
141,12-23,0.3548,31.0
142,12-24,0.9091,11.0
143,12-27,0.7391,23.0
144,12-28,1.0,1.0
145,12-29,0.75,4.0
146,12-30,0.5,8.0
147,12-31,0.8333,6.0
148,01-03,0.5,14.0
149,01-04,1.0,5.0
150,01-05,0.0,0.0
151,01-06,0.4,5.0
152,01-07,0.7692,26.0
153,01-10,0.9677,31.0
154,01-11,0.7297,37.0
155,01-12,0.625,8.0
156,01-13,0.5714,7.0
157,01-14,0.5,4.0
158,01-17,0.8667,30.0
159,01-18,0.6667,3.0
160,01-19,0.2,5.0
161,01-20,0.5455,11.0
162,01-21,0.6667,18.0
163,01-24,0.7273,11.0
164,01-25,0.8667,15.0
165,01-26,0.5926,27.0
166,01-27,0.4,5.0
167,01-28,0.75,4.0
168,01-31,1.0,2.0
169,02-01,0.0,0.0
170,02-02,0.0,0.0
171,02-03,1.0,2.0
172,02-04,0.0,0.0
173,02-07,0.0,1.0
174,02-08,1.0,24.0
175,02-09,0.8333,18.0
176,02-10,0.5833,12.0
177,02-11,0.7895,19.0
178,02-14,1.0,28.0
179,02-15,0.7353,34.0
180,02-16,0.875,8.0
181,02-17,0.9167,12.0
182,02-18,0.6667,27.0
183,02-21,1.0,13.0
184,02-22,0.875,24.0
185,02-23,1.0,14.0
186,02-24,0.875,32.0
187,02-25,0.7241,29.0
188,02-28,0.7727,22.0
189,03-01,0.9091,11.0
190,03-02,1.0,9.0
191,03-03,0.3333,6.0
192,03-04,0.7778,18.0
193,03-07,0.6875,32.0
194,03-08,0.7143,21.0
195,03-09,0.6364,11.0
196,03-10,0.8636,22.0
197,03-11,0.8,15.0
198,03-14,0.925,40.0
199,03-15,0.4545,11.0
200,03-16,0.4815,27.0
201,03-17,0.5,2.0
202,03-18,1.0,5.0
203,03-21,0.9687,32.0
204,03-22,0.3333,15.0
205,03-23,0.8824,17.0
206,03-24,0.75,8.0
207,03-25,0.6875,16.0
208,03-28,0.8095,21.0
209,03-29,0.8437,32.0
210,03-30,0.8333,12.0
211,03-31,0.7273,11.0
212,04-01,1.0,3.0
213,04-04,0.7895,19.0
214,04-05,1.0,1.0
215,04-06,0.2857,7.0
216,04-07,0.2857,7.0
217,04-08,0.7,10.0
218,04-11,1.0,45.0
219,04-12,0.7308,26.0
220,04-13,0.9,10.0
221,04-14,0.5238,21.0
222,04-15,0.9231,26.0
223,04-18,0.8,50.0
224,04-19,0.7742,31.0
225,04-20,0.6667,6.0
226,04-21,0.875,16.0
227,04-22,0.6,15.0
228,04-25,0.8182,33.0
229,04-26,1.0,18.0
230,04-27,0.9091,11.0
231,04-28,0.625,16.0
232,04-29,0.9091,11.0
233,05-02,1.0,11.0
234,05-03,1.0,8.0
235,05-04,1.0,1.0
236,05-05,0.8571,7.0
237,05-06,1.0,4.0
238,05-09,0.9444,18.0
239,05-10,0.2857,7.0
240,05-11,0.9032,31.0
241,05-12,0.5833,12.0
242,05-13,0.3,10.0
243,05-16,0.9091,11.0
244,05-17,0.7059,17.0
245,05-18,-0.1667,12.0
246,05-19,0.2857,7.0
247,05-20,1.0,5.0
248,05-23,0.3636,11.0
249,05-24,1.0,10.0
250,05-25,0.4286,7.0
251,05-26,0.6538,26.0
252,05-27,1.0,11.0
253,05-30,0.0,1.0
254,05-31,0.5,2.0
255,06-01,0.5714,7.0
256,06-02,0.1667,6.0
257,06-03,0.75,4.0
258,06-06,0.7059,17.0
259,06-07,0.8,5.0
260,06-08,1.0,3.0
261,06-09,0.7143,7.0
262,06-10,0.8571,7.0
263,06-13,0.3684,19.0
264,06-14,0.75,8.0
265,06-15,0.5,4.0
266,06-16,1.0,8.0
267,06-17,0.0,1.0
268,06-20,0.4,15.0
269,06-21,0.8519,27.0
270,06-22,0.0,0.0
271,06-23,0.65,20.0
272,06-24,0.8667,15.0
273,06-27,0.7619,21.0
274,06-28,0.5,10.0
275,06-29,0.0588,17.0
276,06-30,0.0,3.0
277,07-01,0.8,5.0
