,date,sentiment_index,count
0,01-08,0.0,0.0
1,01-15,-1.0,2.0
2,01-22,0.0,2.0
3,01-29,0.0,0.0
4,02-05,1.0,5.0
5,02-12,0.0,0.0
6,02-19,0.9,10.0
7,02-26,0.9412,17.0
8,03-05,0.5,6.0
9,03-12,1.0,2.0
11,03-17,0.5,4.0
12,03-18,0.0,0.0
13,03-19,1.0,2.0
14,03-22,1.0,4.0
15,03-23,0.0,0.0
16,03-24,0.6667,3.0
17,03-25,0.0,0.0
18,03-26,0.0,1.0
19,03-29,0.0,1.0
20,03-30,0.0,0.0
21,03-31,0.0,0.0
22,04-01,0.0,1.0
23,04-02,0.0,0.0
24,04-05,0.0,0.0
25,04-06,0.0,0.0
26,04-07,0.0,0.0
27,04-08,0.0,0.0
28,04-09,0.0,0.0
29,04-12,1.0,3.0
30,04-13,0.0,0.0
31,04-14,0.0,0.0
32,04-15,0.0,0.0
33,04-16,0.0,0.0
34,04-19,0.0,1.0
35,04-20,0.0,0.0
36,04-21,1.0,1.0
37,04-22,0.0,0.0
38,04-23,0.0,0.0
39,04-26,0.0,0.0
40,04-27,1.0,1.0
41,04-28,0.75,12.0
42,04-29,0.0,0.0
43,04-30,0.0,0.0
44,05-03,1.0,2.0
45,05-04,0.0,0.0
46,05-05,0.0,0.0
47,05-06,0.0,0.0
48,05-07,0.7692,13.0
49,05-10,0.0,0.0
50,05-11,0.9231,13.0
51,05-12,0.0,0.0
52,05-13,0.0,0.0
53,05-14,0.0,1.0
54,05-17,1.0,2.0
55,05-18,1.0,1.0
56,05-19,1.0,2.0
57,05-20,1.0,1.0
58,05-21,0.0,0.0
59,05-24,0.0,0.0
60,05-25,0.0,0.0
61,05-26,0.0,2.0
62,05-27,0.0,2.0
63,05-28,1.0,2.0
64,05-31,1.0,2.0
65,06-01,0.0,0.0
66,06-02,0.0,2.0
67,06-03,0.0,1.0
68,06-04,0.0,0.0
69,06-07,0.6667,6.0
70,06-08,0.0,0.0
71,06-09,1.0,1.0
72,06-10,0.0,0.0
73,06-11,0.5,10.0
74,06-14,0.0,1.0
75,06-15,0.0,0.0
76,06-16,0.0,0.0
77,06-17,1.0,2.0
78,06-18,0.0,0.0
79,06-21,0.0,0.0
80,06-22,0.0,0.0
81,06-23,0.0,0.0
82,06-24,0.0,0.0
83,06-25,0.0,1.0
84,06-28,0.0,2.0
85,06-29,0.0,0.0
86,06-30,0.0,0.0
87,07-01,0.0,0.0
88,07-02,1.0,1.0
89,07-05,0.0,0.0
90,07-06,1.0,2.0
91,07-07,0.0,0.0
92,07-08,0.0,0.0
93,07-09,0.0,0.0
94,07-12,0.7778,18.0
95,07-13,1.0,1.0
96,07-14,0.0,0.0
97,07-15,0.0,0.0
98,07-16,0.8,5.0
99,07-19,0.0,0.0
100,07-20,0.6,15.0
101,07-21,1.0,2.0
102,07-22,0.0,0.0
103,07-23,1.0,1.0
104,07-27,0.0,0.0
105,07-28,0.0,0.0
106,07-29,0.0,0.0
107,07-30,1.0,2.0
108,08-02,0.0,0.0
109,08-03,1.0,1.0
110,08-04,0.0,0.0
111,08-05,0.0,1.0
112,08-06,0.0,0.0
113,08-09,1.0,7.0
114,08-10,0.6667,6.0
115,08-11,1.0,6.0
116,08-12,0.0,0.0
117,08-13,0.6667,9.0
118,08-16,1.0,2.0
119,08-17,0.0,2.0
120,08-18,1.0,28.0
121,08-19,1.0,12.0
122,08-20,0.0,0.0
123,08-23,0.0,0.0
124,08-24,0.0,0.0
125,08-25,0.6667,3.0
126,08-26,1.0,1.0
127,08-27,1.0,2.0
128,08-30,1.0,2.0
129,08-31,0.0,0.0
130,09-01,1.0,1.0
131,09-02,0.0,0.0
132,09-03,0.0,0.0
133,09-06,0.0,0.0
134,09-07,0.0,1.0
135,09-08,1.0,3.0
136,09-09,0.0,0.0
137,09-10,0.3333,3.0
138,09-13,0.875,8.0
139,09-14,0.0,0.0
140,09-15,0.0,0.0
141,09-16,1.0,4.0
142,09-17,0.0909,11.0
143,09-22,0.0,0.0
144,09-23,0.0,0.0
145,09-24,0.0,0.0
146,09-27,0.4681,47.0
147,09-28,0.0,0.0
148,09-29,1.0,1.0
149,09-30,0.0,6.0
150,10-01,0.0,2.0
151,10-04,0.0,0.0
152,10-05,0.4,10.0
153,10-06,0.0,2.0
154,10-07,1.0,2.0
155,10-08,0.0,0.0
156,10-11,0.7,10.0
157,10-12,1.0,4.0
158,10-13,0.7333,15.0
159,10-14,0.0,2.0
160,10-22,0.0,0.0
161,10-15,1.0,4.0
162,10-18,1.0,2.0
163,10-19,0.0,0.0
164,10-20,1.0,2.0
165,10-21,1.0,2.0
166,10-25,0.5,2.0
167,10-26,1.0,1.0
168,10-27,1.0,10.0
169,10-28,0.0,0.0
170,10-29,0.8333,6.0
171,11-01,1.0,1.0
172,11-02,0.875,16.0
173,11-03,0.6667,3.0
174,11-04,1.0,11.0
175,11-05,0.0,0.0
176,11-08,1.0,2.0
177,11-09,1.0,1.0
178,11-10,1.0,1.0
179,11-11,1.0,12.0
180,11-12,0.5,4.0
181,11-15,0.0,1.0
182,11-16,0.0,0.0
183,11-17,0.0,0.0
184,11-18,0.0,0.0
185,11-19,0.75,4.0
186,11-22,1.0,1.0
187,11-23,0.6667,3.0
188,11-24,0.0,1.0
189,11-25,1.0,4.0
190,11-26,0.0,0.0
191,11-29,0.0,1.0
192,11-30,0.8485,33.0
193,12-01,0.0,0.0
194,12-02,1.0,4.0
195,12-03,0.0,0.0
196,12-06,1.0,3.0
197,12-07,0.0,0.0
198,12-08,0.0,0.0
199,12-09,0.0,1.0
200,12-10,1.0,2.0
201,12-13,0.6667,15.0
202,12-14,1.0,2.0
203,12-15,0.8333,6.0
204,12-16,0.75,4.0
205,12-17,1.0,1.0
206,12-20,1.0,1.0
207,12-21,1.0,1.0
208,12-22,0.0,0.0
209,12-23,1.0,2.0
210,12-24,0.0,0.0
211,12-27,0.0,1.0
212,12-28,1.0,2.0
213,12-29,0.75,4.0
214,12-30,0.75,4.0
215,12-31,1.0,6.0
216,01-03,0.0,0.0
217,01-04,0.0,1.0
218,01-05,0.0,3.0
219,01-06,0.0,0.0
220,01-07,1.0,2.0
221,01-10,0.8235,17.0
222,01-11,0.875,16.0
223,01-12,1.0,2.0
224,01-13,0.0,0.0
225,01-14,0.0,0.0
226,01-17,0.2,5.0
227,01-18,0.0,0.0
228,01-19,1.0,2.0
229,01-20,1.0,1.0
230,01-21,0.0,0.0
231,01-24,0.0,0.0
232,01-25,1.0,1.0
233,01-26,0.0,0.0
234,01-27,0.0,0.0
235,01-28,0.0,0.0
236,01-31,0.0,0.0
237,02-01,0.0,0.0
238,02-02,0.0,0.0
239,02-03,0.0,0.0
240,02-04,0.0,0.0
241,02-07,0.0,0.0
242,02-08,0.6667,6.0
243,02-09,0.3125,16.0
244,02-10,1.0,2.0
245,02-11,0.0,0.0
246,02-14,0.0,1.0
247,02-15,0.8333,12.0
248,02-16,0.0,0.0
249,02-17,0.0,0.0
250,02-18,0.5,2.0
251,02-21,0.0,0.0
252,02-22,1.0,1.0
253,02-23,1.0,2.0
254,02-24,0.0,0.0
255,02-25,0.0,0.0
256,02-28,0.2,5.0
257,03-01,1.0,1.0
258,03-02,0.6667,3.0
259,03-03,0.0,0.0
260,03-04,0.0,0.0
261,03-07,1.0,1.0
262,03-08,1.0,2.0
263,03-09,0.3333,3.0
264,03-10,0.75,4.0
265,03-11,0.8571,7.0
266,03-14,1.0,2.0
267,03-15,1.0,2.0
268,03-16,0.0,0.0
