,date,sentiment_index,count
0,01-22,0.92,25.0
1,01-29,0.7595,79.0
2,02-05,0.8571,35.0
3,07-09,0.56,25.0
4,07-16,0.4,5.0
5,07-23,1.0,4.0
6,07-30,1.0,1.0
7,08-06,0.898,49.0
8,08-13,0.9524,21.0
9,08-20,0.5,2.0
10,08-27,0.8947,38.0
11,09-03,0.8333,24.0
12,09-10,0.6,5.0
13,09-17,1.0,4.0
14,09-24,0.9091,11.0
15,10-01,0.625,8.0
16,10-08,0.75,20.0
17,10-22,1.0,12.0
18,10-15,1.0,20.0
19,10-29,0.3333,6.0
20,11-05,0.9048,21.0
21,11-12,0.875,8.0
22,11-19,1.0,2.0
23,11-26,1.0,4.0
24,12-03,0.7778,18.0
25,12-10,0.8421,19.0
26,12-17,1.0,8.0
27,12-24,0.8889,18.0
28,12-31,0.8333,6.0
29,01-07,0.8125,32.0
30,01-14,0.75,4.0
31,01-21,0.75,4.0
32,01-28,1.0,6.0
33,02-04,0.0,0.0
34,02-11,0.9444,18.0
35,02-18,0.5909,22.0
36,02-25,1.0,10.0
37,07-08,0.4286,7.0
38,07-15,0.7097,31.0
39,07-22,0.7143,7.0
40,07-29,0.8,10.0
41,08-05,0.4,5.0
42,08-12,0.8,5.0
43,08-19,0.8621,29.0
44,08-26,0.6667,3.0
45,09-02,0.48,25.0
46,09-09,1.0,7.0
47,09-16,0.8333,18.0
48,09-23,1.0,5.0
49,09-30,0.5,10.0
50,10-07,0.2632,19.0
51,10-14,1.0,2.0
52,10-21,-0.3333,3.0
53,10-28,0.7,10.0
54,11-04,0.4211,19.0
55,11-11,0.5,10.0
56,11-18,0.8333,6.0
57,11-25,0.625,8.0
58,12-02,0.8333,18.0
59,12-09,0.7308,26.0
60,12-16,0.75,4.0
61,12-23,0.6,30.0
62,12-30,0.8056,36.0
63,01-06,0.6667,12.0
64,01-13,0.9286,14.0
65,01-20,0.0,1.0
66,01-23,1.0,8.0
67,01-24,0.0,0.0
68,01-25,0.0,0.0
69,01-26,0.0,0.0
70,01-27,0.0,0.0
71,01-30,1.0,4.0
72,01-31,1.0,14.0
73,02-01,0.8125,16.0
74,02-03,0.8,5.0
75,02-10,0.8889,27.0
76,02-17,0.5,2.0
77,02-24,1.0,1.0
78,03-02,0.8571,7.0
79,03-03,1.0,2.0
80,03-09,0.8108,37.0
81,03-10,0.9375,16.0
82,03-16,1.0,7.0
83,03-17,0.7143,7.0
84,03-23,0.8889,9.0
85,03-24,0.92,25.0
86,03-30,1.0,11.0
87,03-31,0.75,12.0
88,04-06,1.0,6.0
89,04-07,0.0,0.0
90,04-13,0.9189,37.0
91,04-14,0.7941,34.0
92,04-20,0.0,0.0
93,04-21,0.6667,6.0
94,04-27,0.9062,32.0
95,04-28,0.7778,18.0
96,05-04,0.6667,15.0
97,05-05,0.0,1.0
98,05-11,0.75,36.0
99,05-12,0.9375,32.0
100,05-18,0.6071,28.0
101,05-19,0.0,0.0
102,05-25,1.0,17.0
103,05-26,0.0,0.0
104,06-01,0.6765,34.0
105,06-02,0.0,0.0
106,06-08,0.8421,19.0
107,06-09,0.9545,22.0
108,06-15,0.6538,26.0
109,06-16,0.8095,21.0
110,06-22,0.0,0.0
111,06-23,0.875,8.0
112,06-29,0.9286,14.0
113,06-30,0.875,16.0
115,07-05,0.0,0.0
116,07-06,0.9231,13.0
117,07-07,0.5,14.0
118,07-10,0.8333,12.0
119,07-11,0.9714,35.0
120,07-12,0.6667,15.0
121,07-13,1.0,3.0
122,07-14,0.9,10.0
123,07-17,1.0,11.0
124,07-18,0.0,0.0
125,07-19,0.7857,14.0
126,07-20,0.5,12.0
127,07-21,0.7576,33.0
128,07-24,0.8182,22.0
129,07-25,0.75,12.0
130,07-26,0.8571,7.0
131,07-27,0.0625,16.0
132,07-28,0.8261,23.0
133,07-31,1.0,7.0
134,08-01,-1.0,3.0
135,08-02,1.0,1.0
136,08-03,0.619,21.0
137,08-04,0.0,1.0
138,08-07,1.0,2.0
139,08-08,0.9,10.0
140,08-09,0.8462,26.0
141,08-10,0.5806,31.0
142,08-11,0.7778,18.0
143,08-14,0.5833,12.0
144,08-15,1.0,2.0
145,08-16,0.8824,17.0
146,08-17,1.0,10.0
147,08-18,0.75,4.0
148,08-21,0.5714,7.0
149,08-22,0.0,0.0
150,08-23,1.0,4.0
151,08-24,0.8333,18.0
152,08-25,0.3333,3.0
153,08-28,0.9,10.0
154,08-29,0.3636,11.0
155,08-30,1.0,3.0
156,08-31,0.6667,3.0
157,09-01,0.0,0.0
158,09-04,0.0,0.0
159,09-05,0.6875,16.0
160,09-06,0.0,0.0
161,09-07,0.7917,24.0
162,09-08,0.8,5.0
163,09-11,1.0,17.0
164,09-12,1.0,54.0
165,09-13,0.9,20.0
166,09-14,0.5833,24.0
167,09-15,0.1429,7.0
168,09-18,1.0,2.0
169,09-19,1.0,5.0
170,09-20,0.0,0.0
171,09-21,1.0,3.0
172,09-22,0.0,0.0
173,09-25,0.9,10.0
174,09-26,1.0,2.0
175,09-27,0.9091,11.0
176,09-28,0.0,0.0
177,09-29,1.0,12.0
178,10-02,1.0,2.0
179,10-03,0.0,0.0
180,10-04,0.4,5.0
181,10-05,0.8333,12.0
182,10-06,1.0,15.0
183,10-09,0.8571,14.0
184,10-10,0.0,0.0
185,10-11,1.0,5.0
186,10-12,0.6667,6.0
187,10-13,0.0,0.0
188,10-16,0.0,0.0
189,10-17,0.0,0.0
190,10-18,0.8182,11.0
191,10-19,0.6667,3.0
192,10-20,0.8462,13.0
193,10-23,0.875,8.0
194,10-24,1.0,3.0
195,10-25,0.7778,9.0
196,10-26,0.7143,28.0
197,10-27,0.0,0.0
198,10-30,0.0,0.0
199,10-31,0.0,0.0
200,11-01,1.0,1.0
201,11-02,0.0,0.0
202,11-03,0.8667,15.0
203,11-06,1.0,3.0
204,11-07,0.0,0.0
205,11-08,0.7143,14.0
206,11-09,0.0,0.0
207,11-10,0.6667,3.0
208,11-13,0.4167,12.0
209,11-14,1.0,4.0
210,11-15,0.0,0.0
211,11-16,0.4091,22.0
212,11-17,0.0,0.0
213,11-20,1.0,4.0
214,11-21,0.0,0.0
215,11-22,1.0,14.0
216,11-23,0.9231,13.0
217,11-24,1.0,8.0
218,11-27,0.7308,26.0
219,11-28,0.8462,39.0
220,11-29,1.0,1.0
221,11-30,0.0,0.0
222,12-01,0.5385,13.0
223,12-04,0.6,30.0
224,12-05,0.9286,14.0
225,12-06,0.0,0.0
226,12-07,0.0,0.0
227,12-08,0.0,0.0
228,12-11,1.0,3.0
229,12-12,0.6,15.0
230,12-13,0.7826,23.0
231,12-14,0.0,0.0
232,12-15,0.0,0.0
233,12-18,1.0,1.0
234,12-19,0.8571,7.0
235,12-20,1.0,1.0
236,12-21,1.0,5.0
237,12-22,0.0,0.0
238,12-25,0.25,4.0
239,12-26,0.0,0.0
240,12-27,0.0,0.0
241,12-28,0.0,0.0
242,12-29,0.5,14.0
243,01-01,1.0,2.0
244,01-02,0.0,0.0
245,01-03,0.8,5.0
246,01-04,0.0,0.0
247,01-05,0.0,0.0
248,01-08,0.5714,28.0
249,01-09,0.0,0.0
250,01-10,0.0,0.0
251,01-11,0.9388,49.0
252,01-12,0.8846,26.0
253,01-15,0.0,0.0
254,01-16,0.5385,13.0
255,01-17,0.0,0.0
256,01-18,0.9,10.0
257,01-19,1.0,2.0
258,02-02,0.6538,26.0
259,02-06,0.9,30.0
260,02-07,0.9286,28.0
261,02-08,1.0,4.0
262,02-09,0.0,0.0
263,02-12,1.0,2.0
264,02-13,1.0,1.0
265,02-14,1.0,4.0
266,02-15,0.0,0.0
267,02-16,0.0,0.0
268,02-19,0.8966,29.0
269,02-20,1.0,6.0
270,02-21,1.0,2.0
271,02-22,0.881,42.0
272,02-23,1.0,17.0
273,02-26,0.8125,32.0
274,02-27,0.0,0.0
275,02-28,1.0,2.0
276,02-29,0.0,0.0
277,03-01,1.0,27.0
278,03-04,0.9412,17.0
279,03-05,1.0,14.0
280,03-06,0.7778,9.0
281,03-07,0.85,20.0
282,03-08,0.0,0.0
283,03-11,0.913,46.0
284,03-12,0.8649,37.0
285,03-13,1.0,14.0
286,03-14,0.95,40.0
287,03-15,0.8974,39.0
288,03-18,1.0,61.0
289,03-19,0.0,0.0
290,03-20,0.0,0.0
291,03-21,1.0,11.0
292,03-22,0.8889,18.0
293,03-25,0.8667,15.0
294,03-26,1.0,43.0
295,03-27,0.6154,26.0
296,03-28,0.7222,36.0
297,03-29,0.975,40.0
298,04-01,0.7778,54.0
299,04-02,0.8182,22.0
300,04-03,1.0,7.0
301,04-04,0.8571,14.0
302,04-05,0.0,0.0
303,04-08,1.0,55.0
304,04-09,0.825,40.0
305,04-10,0.8644,59.0
306,04-11,0.8182,44.0
307,04-12,0.875,16.0
308,04-15,0.9474,38.0
309,04-16,0.8889,9.0
310,04-17,0.7931,29.0
311,04-18,0.8421,19.0
312,04-19,0.8857,35.0
313,04-22,0.95,20.0
314,04-23,0.5,4.0
315,04-24,0.8929,28.0
316,04-25,0.8095,21.0
317,04-26,0.5652,23.0
318,04-29,0.7692,26.0
319,04-30,0.5676,37.0
320,05-01,0.5862,29.0
321,05-02,0.625,8.0
322,05-03,0.6786,28.0
323,05-06,0.6923,13.0
324,05-07,0.7778,18.0
325,05-08,1.0,6.0
326,05-09,0.7907,43.0
327,05-10,1.0,27.0
328,05-13,0.8293,41.0
329,05-14,0.8333,6.0
330,05-15,0.75,20.0
331,05-16,1.0,3.0
332,05-17,1.0,2.0
333,05-20,0.75,24.0
334,05-21,0.6667,9.0
335,05-22,0.8824,17.0
336,05-23,0.6471,17.0
337,05-24,0.6667,9.0
338,05-27,0.0,0.0
339,05-28,0.0,0.0
340,05-29,0.0,0.0
341,05-30,0.0,0.0
342,05-31,0.9828,58.0
343,06-03,0.5,14.0
344,06-04,0.9286,14.0
345,06-05,0.6,5.0
346,06-06,1.0,2.0
347,06-07,1.0,19.0
348,06-10,0.5625,16.0
349,06-11,0.0,0.0
350,06-12,1.0,10.0
351,06-13,0.4286,7.0
352,06-14,0.875,8.0
353,06-17,0.7083,24.0
354,06-18,0.75,20.0
355,06-19,0.0,0.0
356,06-20,0.4,5.0
357,06-21,0.3333,3.0
358,06-24,0.7059,17.0
359,06-25,1.0,8.0
360,06-26,0.0,0.0
361,06-27,0.7143,7.0
362,06-28,0.5,4.0
363,07-01,1.0,4.0
364,07-02,0.9048,21.0
365,07-03,1.0,2.0
366,07-04,0.0,0.0
